Timestamp,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
02/03/2026 19:12:43,Enhancing the Open Network: Definition and Automated Detection of Smart Contract Defects,Freddie,10.1109/ICSE55347.2025.00119,https://anonymous.4open.science/r/TON_support_material-ECD4/,2025,ICSE,"Sichuan University, University of Electronic Science and Technology of China, Sun Yat-Sen University, BitsLab, TonBit",The Open Network,,Yes,No,,No,No,No,No,No,No,https://anonymous.4open.science/r/TON_support_material-ECD4/,Anonymous GitHub but no Zenodo,Yes,Yes,Not necessary,Software is currently available,Download,No,No,No,Infeasable,,Yes,Yes,No but no clear constraints not to,"I1: Hard to say since source code is unavailable but seems to input a repo and output whatever
I2: LOTS of other objects: repos, samples, etc. I have no reason to say that these are not qualified
Could see this being integrated elsewhere",No,README only + some rebuttal,No,No,Yes,No,,No,,,No,No,"R2: lib64 is included in the repo
R3: can't say since only the executable is available",,10:15:00
02/03/2026 19:20:15,ZTDJAVA: Mitigating Software Supply Chain Vulnerabilities via Zero-Trust Dependencies,Freddie,10.1109/ICSE55347.2025.00148,,2025,ICSE,"Purdue University, Mount Holyoke College, Google",Security and Analysis,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,Not a serious complaint but why did they use markdown in their title,04:43:00
03/03/2026 15:36:06,CodeImprove: Program Adaptation for Deep Code Models,Jed,10.1109/ICSE55347.2025.00139,https://github.com/CodeImprove/CodeImprove,2025,ICSE,"University of Texas at Dallas, University of Pennsylvania","Input Validation, Program Transformation",,Yes,No,,No,No,No,No,No,Yes,https://github.com/CodeImprove/CodeImprove,"Github, linked in paper, no DOI",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,"Github, no 3rd party tools required, source code available",Yes,No: no datasets used,No: infeasible,"I1: Internal dataset uses JSONL; I2: No external datasets used, so no qualified references needed; Sufficient effort: software artefact is a small tool, setting up API or interfaces with other tools is infeasible.",No,README,No,No,Yes,Yes,requirements section in readme,No,"Docstrings, Inline comments",,Yes,Yes,"R1: Readme is too small, not particularly relevant, and the only attribute; R3: Debatable, could be better quality, but there are at least some comments and documentation","Not great. Github, linked in paper at least, but lacking detailed metadata or information. No DOI.",00:13:00
03/03/2026 17:29:21,Fairquant: Certifying and Quantifying Fairness of Deep Neural Networks,Jed,10.1109/ICSE55347.2025.00016,https://zenodo.org/records/14890262,2025,ICSE,"University of Southern California, Purdue University",Deep Neural Networks,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14890262,Yes,Yes,Yes,Yes,Yes,No,https://github.com/briankim113/FairQuant-Artifact,"F2: Citation, license, and one author provided in metadata, along with DOI; Artefact not mentioned in paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Detailed readme describing how to use and run the artefact,Yes,No: no datasets used,No: infeasible,"I1: CSV data structures used; Integration question: Small scale tool, api/interface not feasible",Yes,"Readme, License",Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,"Docstrings, Inline comments",Virtualbox,Yes,Yes,R1: Strong readme; R1.2: No provenance provided; R2: No libraries referenced; R3: Detailed documentation and commenting,Very strong repository and documentation,00:13:00
03/03/2026 18:39:58,FairChecker: Detecting Fund-Stealing Bugs in DeFi Protocols via Fairness Validation,Freddie,10.1109/ICSE55347.2025.00134,,2025,ICSE,Purdue University,Security and Analysis (Blockchain),,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:19:00
03/03/2026 18:52:55,An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,Freddie,10.1109/ICSE55347.2025.00100,https://github.com/fraolBatole/LocalizeAgent,2025,ICSE,"Tulane University, Iowa State University, The University of Texas at Dallas, University of Nebraska-Lincoln",Agentic AI/LLMs,Artefact Available,Yes,No,,No,No,No,No,No,Yes,https://github.com/fraolBatole/LocalizeAgent,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,Yes,"I2: there is a datasets folder but there is just a Java file here. Was there meant to be a dataset here? If it's not here and there is supposed to be one then I can't really give this
I believe this can be integrated with other LLMs / AI agents",No,README only,No,Yes,Yes,Yes,"pyproject.toml, uv.lock (uv package manager for Python)",Yes,Docstrings,,Yes,No,Needs API keys for LLM of your choice,Had some technical issues with GitHub so took longer to complete than anticipated,12:17:00
04/03/2026 11:02:32,Distilled Lifelong Self-Adaptation for Configurable Systems,Freddie,10.1109/ICSE55347.2025.00094,https://github.com/ideas-labo/dlisa,2025,ICSE,University of Birmingham,Self-adaptive Systems,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,No,No,No,No,Yes,https://github.com/ideas-labo/dlisa,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,I2: dataset included in source code,Yes,"Detailed README, paper itself, artifact archive",Yes,Yes,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,Yes,"R3: code is readable and comments are added where necessary
Guides to run the various RQs are given",While it's good that the artefact zip was included in the repo it would've been better to have this in a separate zenodo,08:38:00
04/03/2026 11:09:19,COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge,Freddie,10.1109/ICSE55347.2025.00234,,2025,ICSE,"The Chinese University of Hong Kong,Sun Yat-sen University",Distributed systems,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:53:00
04/03/2026 14:40:50,Calibration and Correctness of Language Models for Code,Jed,10.1109/ICSE55347.2025.00040,https://zenodo.org/records/14744842,2025,ICSE,"UC Davis, Univ. of Stuttgart, Univ. of Houston, SRI","LLM, Calibration, Confidence Measure","Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14744842,Yes,Yes,Yes,Yes,Yes,No,,F1.1: Dataset used is not large enough to warrant a separate identifier; F1.2: Only one mentioned version of the software; No github as far as i could tell.,Yes,Yes,Not necessary,Software is currently available,Download,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,"3RD party tools: paper IS an LLM paper so potentially could require LLM key, however i could not verify whether or not it was required; Could not download to check the readme question",Yes,Artefact Unavailable,Artefact Unavailable,I1: I could see CSV files used on the zenodo repository; I2: I could not access the project files to check this,Artefact Unavailable,Multiple READMEs,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,pyproject.toml,Artefact Unavailable,,Docker,Artefact Unavailable,Artefact Unavailable,"R1, R1.2, R2, R3: I could not access the repository to verify these","The zenodo repository was too large for me to verify files (~180mb, or ~30min wait for download), so I was not able to verify some questions - if we think it necessary or if conflicts arise I could download and go through more thoroughly another time.",00:14:00
04/03/2026 15:24:36,An Empirical Study on Commit Message Generation Using LLMs via In-Context Learning,Jed,10.1109/ICSE55347.2025.00091,https://github.com/wuyifan18/LLM4CMG,2025,ICSE,"Peking University, Ant Group, Fudan University, The Chinese University of Hong Kong","Commit Message Generation, Large Language Model, In-Context Learning",,Yes,No,,No,No,No,No,No,Yes,https://github.com/wuyifan18/LLM4CMG,F1: I could not find any DOI for the artefact; F2: Very bare metadata on the github,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,"Typical github only entry, weak readme",Yes,Yes,No: infeasible,I1: Results generation files use JSON; I2: Somewhat qualified references to datasets used.,No,README,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,"R2: Other libraries used in source code, not appropriately referenced; R3: Some commenting, but not enough, and weak documentation; Use of 3rd party tools: Exemplar results for deepseek provided","No DOI, github repo only, weak readme/metadata",00:12:00
